Constellation,From,To
Scorpius,1913-11-23,1913-11-29
Ophiucus,1913-11-30,1913-12-17
Sagittarius,1913-12-18,1913-01-19
Capricornus,1913-01-20,1913-02-15
Aquarius,1914-02-16,1914-03-11
Pisces,1914-03-12,1914-04-18
Aries,1914-04-19,1914-05-13
Taurus,1914-05-14,1914-06-21
Gemini,1914-06-22,1914-07-20
Cancer,1914-07-21,1914-08-10
Leo,1914-08-11,1914-09-16
Virgo,1914-09-17,1914-10-30
Libra,1914-10-31,1914-11-22
Scorpius,1914-11-23,1914-11-29
Ophiucus,1914-11-30,1914-12-17
Sagittarius,1914-12-18,1914-01-19
Capricornus,1914-01-20,1914-02-15
Aquarius,1915-02-17,1915-03-12
Pisces,1915-03-13,1915-04-18
Aries,1915-04-19,1915-05-14
Taurus,1915-05-15,1915-06-21
Gemini,1915-06-22,1915-07-20
Cancer,1915-07-21,1915-08-10
Leo,1915-08-11,1915-09-16
Virgo,1915-09-17,1915-10-31
Libra,1915-11-01,1915-11-23
Scorpius,1915-11-24,1915-11-29
Ophiucus,1915-11-30,1915-12-18
Sagittarius,1915-12-19,1915-01-19
Capricornus,1915-01-20,1915-02-16
Aquarius,1916-02-17,1916-03-11
Pisces,1916-03-12,1916-04-17
Aries,1916-04-18,1916-05-13
Taurus,1916-05-14,1916-06-20
Gemini,1916-06-21,1916-07-19
Cancer,1916-07-20,1916-08-09
Leo,1916-08-10,1916-09-15
Virgo,1916-09-16,1916-10-30
Libra,1916-10-31,1916-11-22
Scorpius,1916-11-23,1916-11-29
Ophiucus,1916-11-30,1916-12-17
Sagittarius,1916-12-18,1916-01-19
Capricornus,1916-01-20,1916-02-16
Aquarius,1917-02-16,1917-03-11
Pisces,1917-03-12,1917-04-18
Aries,1917-04-19,1917-05-13
Taurus,1917-05-14,1917-06-20
Gemini,1917-06-21,1917-07-20
Cancer,1917-07-21,1917-08-10
Leo,1917-08-11,1917-09-16
Virgo,1917-09-17,1917-10-30
Libra,1917-10-31,1917-11-22
Scorpius,1917-11-23,1917-11-29
Ophiucus,1917-11-30,1917-12-17
Sagittarius,1917-12-18,1917-01-19
Capricornus,1917-01-20,1917-02-15
Aquarius,1918-02-16,1918-03-11
Pisces,1918-03-12,1918-04-18
Aries,1918-04-19,1918-05-13
Taurus,1918-05-14,1918-06-21
Gemini,1918-06-22,1918-07-20
Cancer,1918-07-21,1918-08-10
Leo,1918-08-11,1918-09-16
Virgo,1918-09-17,1918-10-30
Libra,1918-10-31,1918-11-22
Scorpius,1918-11-23,1918-11-29
Ophiucus,1918-11-30,1918-12-17
Sagittarius,1918-12-18,1918-01-19
Capricornus,1918-01-20,1918-02-15
Aquarius,1919-02-17,1919-03-12
Pisces,1919-03-13,1919-04-18
Aries,1919-04-19,1919-05-14
Taurus,1919-05-15,1919-06-21
Gemini,1919-06-22,1919-07-20
Cancer,1919-07-21,1919-08-10
